,precision,recall,f1-score,support
0,1.0,0.9658119658119658,0.9826086956521739,234.0
1,0.42857142857142855,1.0,0.6,6.0
accuracy,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
macro avg,0.7142857142857143,0.982905982905983,0.7913043478260869,240.0
weighted avg,0.9857142857142858,0.9666666666666667,0.9730434782608696,240.0
