feature,importance
stress_level,0.4126137760035368
sleep_hours,0.2649447754161398
anxiety_level,0.2007479238730406
daily_social_media_hours,0.12169352290688214
academic_performance,1.8004005462718394e-09
age,0.0
screen_time_before_sleep,0.0
physical_activity,0.0
addiction_level,0.0
gender_female,0.0
gender_male,0.0
platform_usage_both,0.0
platform_usage_instagram,0.0
platform_usage_tiktok,0.0
social_interaction_level_high,0.0
social_interaction_level_low,0.0
social_interaction_level_medium,0.0
