,age,daily_social_media_hours,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,stress_level,anxiety_level,addiction_level
age,1.0,-0.030888180107534708,-0.22857828709508707,-0.034273295296300646,-0.258086951918758,-0.05110250638068994,-0.09316592140750735,-0.01876966426121556,0.060576896930442395
daily_social_media_hours,-0.030888180107534708,1.0,0.0019286255154702943,0.029430925573096227,-0.12548419564702384,-0.06645179761661633,0.17460339914904408,0.04467940414340507,-0.2096957634772685
sleep_hours,-0.22857828709508707,0.0019286255154702943,1.0,-0.23581939485866021,0.14728289210256815,-0.1391860143561256,-0.35655839212351015,0.09123756824240661,0.15135419391107455
screen_time_before_sleep,-0.034273295296300646,0.029430925573096227,-0.23581939485866021,1.0,-0.06260508889532504,0.1436500905799257,-0.1259828357229668,0.05797337277930958,-0.2927405110153207
academic_performance,-0.258086951918758,-0.12548419564702384,0.14728289210256815,-0.06260508889532504,1.0,0.005719233962827032,0.0824659710298815,-0.2828070164194305,0.01043312605708335
physical_activity,-0.05110250638068994,-0.06645179761661633,-0.1391860143561256,0.1436500905799257,0.005719233962827032,1.0,0.07393132881462149,0.2896112739695513,-0.18783796122593213
stress_level,-0.09316592140750735,0.17460339914904408,-0.35655839212351015,-0.1259828357229668,0.0824659710298815,0.07393132881462149,1.0,-0.05742735296859629,-0.15359314754374906
anxiety_level,-0.01876966426121556,0.04467940414340507,0.09123756824240661,0.05797337277930958,-0.2828070164194305,0.2896112739695513,-0.05742735296859629,1.0,-0.40872548102421685
addiction_level,0.060576896930442395,-0.2096957634772685,0.15135419391107455,-0.2927405110153207,0.01043312605708335,-0.18783796122593213,-0.15359314754374906,-0.40872548102421685,1.0
